id,Action
1,0.005411818446699414
2,0.9999999999897362
3,0.9999999795910595
4,0.99999835940021
5,0.9999999999996103
6,0.9999999999995928
7,0.9916092024533975
8,0.9999999999999991
9,0.9995958211670147
10,0.9999978419611082
11,0.9999984530624753
12,0.928696089173305
13,0.9999999996274165
14,0.0010756723816105972
15,0.9972001403697515
16,0.9999998711661999
17,0.0023194819821058385
18,0.07765205060936035
19,0.9999999999996751
20,0.9999999999955744
21,0.9999995050342677
22,0.9997676946624262
23,0.999999999955766
24,0.9999730687557781
25,0.99999999998086
26,0.8168084568703055
27,0.9999999695719526
28,0.9998136151764409
29,0.9999999676164596
30,0.9810028631043122
31,0.9999998809753776
32,0.9999985080553019
33,0.9999993360940873
34,0.9999999998772096
35,0.9999998570720976
36,0.9999999998593061
37,0.9999989258350107
38,0.9999999455447152
39,0.9999559726458723
40,0.9999013068417948
41,0.013180493095673063
42,0.9999999999901026
43,0.9999998238485915
44,0.9999999999080971
45,0.9999999999958005
46,0.9116275997975842
47,1
48,0.9999948810584371
49,0.9999999999989757
50,0.999999998125938
51,0.9691871864661142
52,0.9999999723815524
53,0.999995286894923
54,0.9999999999999936
55,0.9999999998414764
56,0.9999998738179733
57,0.9999966063218179
58,0.9999999999999911
59,0.9999999889041956
60,0.999999999999859
61,0.999999996361183
62,0.9999996661971204
63,0.9999999891096548
64,0.9999999982595074
65,0.999999994900292
66,0.999999995007977
67,0.9999922804633772
68,0.9999999999999964
69,0.9999926656974291
70,2.386031531367184e-4
71,0.9999972818273488
72,0.9999999997806335
73,0.9999999999995293
74,0.9999999774652254
75,0.9999999490524755
76,0.9999999999974825
77,0.9999999943101558
78,0.9999799975069354
79,0.08742138294416285
80,0.9999996185385936
81,1
82,0.9999998442624596
83,0.9999998028999049
84,0.9999999998918236
85,0.9999992434253666
86,0.999264151939924
87,0.9999999991060977
88,0.9999999258532597
89,0.9999999999999933
90,0.898642337937526
91,0.9999998484611715
92,0.12387438674631242
93,0.9999999999996396
94,0.9999913723420248
95,0.9999976501535353
96,0.9999999992780488
97,0.0023608076902872635
98,0.999999472134762
99,0.9999999999658842
100,0.999999999932621
101,0.98295624357193645
102,0.9999993134771114
103,0.9999999712061388
104,0.999955022260458
